date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
02:22:24	21706/21706	---MCZ	200	added ('OK')	text/html	etag:W/%2266bc9d99-54ca%22	https://uithemez.com/i/hubfolio_HTML/inner_pages/portfolio-cards.html	C:/My%20Web%20Sites/Work/uithemez.com/i/hubfolio_HTML/inner_pages/portfolio-cards.html	(from )
02:22:25	237/237	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2017%20Sep%202024%2001:22:27%20GMT	https://uithemez.com/robots.txt		(from )
02:22:25	318/318	---MCZ	200	added ('OK')	image/x-icon	etag:W/%2266bc9da2-13e%22	https://uithemez.com/i/hubfolio_HTML/inner_pages/assets/imgs/favicon.ico	C:/My%20Web%20Sites/Work/uithemez.com/i/hubfolio_HTML/inner_pages/assets/imgs/favicon.ico	(from https://uithemez.com/i/hubfolio_HTML/inner_pages/portfolio-cards.html)
02:22:26	864/864	---MCZ	200	added ('OK')	text/css	etag:W/%2266bc9ca5-360%22	https://uithemez.com/i/hubfolio_HTML/common/css/plugins.css	C:/My%20Web%20Sites/Work/uithemez.com/i/hubfolio_HTML/common/css/plugins.css	(from https://uithemez.com/i/hubfolio_HTML/inner_pages/portfolio-cards.html)
02:22:26	52958/52958	---MCZ	200	added ('OK')	text/css	etag:W/%2266bc9ca5-cede%22	https://uithemez.com/i/hubfolio_HTML/common/css/common_style.css	C:/My%20Web%20Sites/Work/uithemez.com/i/hubfolio_HTML/common/css/common_style.css	(from https://uithemez.com/i/hubfolio_HTML/inner_pages/portfolio-cards.html)
02:22:26	55607/55607	---MCZ	200	added ('OK')	text/css	etag:W/%2266bc9da0-d937%22	https://uithemez.com/i/hubfolio_HTML/inner_pages/assets/css/inner_pages.css	C:/My%20Web%20Sites/Work/uithemez.com/i/hubfolio_HTML/inner_pages/assets/css/inner_pages.css	(from https://uithemez.com/i/hubfolio_HTML/inner_pages/portfolio-cards.html)
02:22:27	26279/26279	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2266bc9da3-66a7%22	https://uithemez.com/i/hubfolio_HTML/inner_pages/assets/imgs/Logo-light.svg	C:/My%20Web%20Sites/Work/uithemez.com/i/hubfolio_HTML/inner_pages/assets/imgs/Logo-light.svg	(from https://uithemez.com/i/hubfolio_HTML/inner_pages/portfolio-cards.html)
02:22:27	56986/56986	---MCZ	200	added ('OK')	text/html	etag:W/%2266bc9d96-de9a%22	https://uithemez.com/i/hubfolio_HTML/inner_pages/about.html	C:/My%20Web%20Sites/Work/uithemez.com/i/hubfolio_HTML/inner_pages/about.html	(from https://uithemez.com/i/hubfolio_HTML/inner_pages/portfolio-cards.html)
02:22:27	31079/31079	---MCZ	200	added ('OK')	text/html	etag:W/%2266bc9d97-7967%22	https://uithemez.com/i/hubfolio_HTML/inner_pages/blog-grid.html	C:/My%20Web%20Sites/Work/uithemez.com/i/hubfolio_HTML/inner_pages/blog-grid.html	(from https://uithemez.com/i/hubfolio_HTML/inner_pages/portfolio-cards.html)
02:22:28	25298/25298	---MCZ	200	added ('OK')	text/html	etag:W/%2266bc9d98-62d2%22	https://uithemez.com/i/hubfolio_HTML/inner_pages/contact.html	C:/My%20Web%20Sites/Work/uithemez.com/i/hubfolio_HTML/inner_pages/contact.html	(from https://uithemez.com/i/hubfolio_HTML/inner_pages/portfolio-cards.html)
